Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,Continent_Country,Lat_Long
Unknown,2023-03-10,24396534,0,207695.0,0.0,24119403.0,0,69436.0,0,522526476.0,68497907,EU,3,"EU,Unknown","(25.029422, -77.36195598496681)"
US,2023-03-10,105599065,7451,1148765.0,50.0,103126259.0,42429,1324041.0,2365,1168585832.0,334805269,NA,3,"NA,US","(39.7837304, -100.445882)"
UG,2023-03-10,170544,0,3630.0,0.0,100431.0,0,66483.0,3,3012408.0,48432863,AF,284,"AF,UG","(1.5333554, 32.2166578)"
UA,2023-03-10,5399231,0,111298.0,0.0,5270797.0,0,17136.0,0,32603805.0,43192122,EU,8,"EU,UA","(49.4871968, 31.2718321)"
UY,2023-03-10,1034303,0,7617.0,0.0,1026186.0,0,500.0,18,6114822.0,3496016,SA,3,"SA,UY","(-32.8755548, -56.0201525)"
UZ,2023-03-10,251247,0,1637.0,0.0,241486.0,0,8124.0,23,1377915.0,34382084,AS,137,"AS,UZ","(41.32373, 63.9528098)"
VE,2023-03-10,552188,20,5854.0,0.0,545948.0,2,386.0,31,3359014.0,29266991,SA,53,"SA,VE","(8.0018709, -66.1109318)"
VN,2023-03-10,11527026,14,43186.0,0.0,10614815.0,6,869025.0,1,85826548.0,98953541,AS,9,"AS,VN","(15.9266657, 107.9650855)"
YE,2023-03-10,11945,0,2159.0,0.0,9124.0,0,662.0,23,329592.0,31154867,AS,"2,608","AS,YE","(16.3471243, 47.8915271)"
ZM,2023-03-10,343135,0,4057.0,0.0,338854.0,0,224.0,0,3943335.0,19470234,AF,57,"AF,ZM","(-14.5189121, 27.5589884)"
ZW,2023-03-10,264276,0,5671.0,0.0,258184.0,0,421.0,12,2525756.0,15331428,AF,58,"AF,ZW","(-18.4554963, 29.7468414)"
